Datazone 2011,All households,Unshared dwelling: Total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In a commercial building",Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
S01006876,396,396,383,267,90,26,13,7,4,2,0,0
S01006877,372,372,364,328,34,2,6,4,2,0,2,0
S01006878,322,322,299,207,63,29,21,13,8,0,2,0
S01006879,322,322,316,269,46,1,5,1,4,0,1,0
S01006880,227,227,219,191,27,1,8,4,4,0,0,0
S01006881,227,227,226,193,31,2,1,0,1,0,0,0
S01006882,207,207,180,47,131,2,27,27,0,0,0,0
S01006883,217,217,165,115,35,15,52,42,9,1,0,0
S01006884,390,390,368,225,118,25,22,16,1,5,0,0
S01006885,220,220,220,180,35,5,0,0,0,0,0,0
S01006886,321,321,316,223,52,41,5,2,0,3,0,0
S01006887,213,213,195,161,29,5,18,17,0,1,0,0
S01006888,309,309,299,228,60,11,10,6,3,1,0,0
S01006889,350,350,345,70,149,126,5,4,1,0,0,0
S01006890,264,264,227,150,62,15,37,35,2,0,0,0
S01006891,400,400,335,164,101,70,65,53,9,3,0,0
S01006892,275,275,274,42,187,45,1,1,0,0,0,0
S01006893,196,196,195,64,60,71,1,1,0,0,0,0
S01006894,448,448,363,109,245,9,85,83,2,0,0,0
S01006895,266,266,122,8,67,47,143,142,0,1,1,0
S01006896,361,361,246,87,127,32,115,100,11,4,0,0
S01006897,290,290,251,79,102,70,39,33,6,0,0,0
S01006898,340,340,288,93,180,15,52,52,0,0,0,0
S01006899,242,242,238,113,124,1,4,3,1,0,0,0
S01006900,234,234,228,112,96,20,6,5,1,0,0,0
S01006901,270,270,200,24,136,40,70,69,1,0,0,0
S01006902,296,296,213,76,130,7,80,77,2,1,3,0
S01006903,349,349,263,56,132,75,86,81,5,0,0,0
S01006904,330,330,190,80,46,64,140,129,11,0,0,0
S01006905,395,395,322,137,158,27,72,61,5,6,1,0
S01006906,441,441,299,22,121,156,142,140,2,0,0,0
S01006907,305,305,127,81,29,17,178,152,16,10,0,0
S01006908,426,426,212,66,71,75,214,196,16,2,0,0
S01006909,275,275,267,237,25,5,8,8,0,0,0,0
S01006910,353,353,315,264,33,18,15,12,3,0,23,0
S01006911,224,224,216,176,25,15,8,6,2,0,0,0
S01006912,170,170,164,131,26,7,6,1,5,0,0,0
S01006913,182,182,179,156,23,0,3,0,1,2,0,0
S01006914,273,273,266,201,49,16,5,2,3,0,2,0
S01006915,301,301,297,226,66,5,4,2,2,0,0,0
S01006916,207,207,173,103,66,4,34,33,1,0,0,0
S01006917,320,320,319,275,41,3,1,0,1,0,0,0
S01006918,195,195,180,109,59,12,15,9,5,1,0,0
S01006919,205,205,188,94,54,40,17,12,5,0,0,0
S01006920,243,243,143,80,49,14,100,90,6,4,0,0
S01006921,270,270,269,212,53,4,1,0,0,1,0,0
S01006922,201,201,186,150,28,8,1,1,0,0,14,0
S01006923,331,331,299,204,57,38,32,30,2,0,0,0
S01006924,208,208,204,167,30,7,4,1,1,2,0,0
S01006925,215,215,181,107,72,2,34,31,2,1,0,0
S01006926,263,263,260,191,66,3,3,2,1,0,0,0
S01006927,358,358,333,274,56,3,25,24,1,0,0,0
S01006928,416,416,387,212,125,50,27,21,6,0,2,0
S01006929,280,280,279,265,12,2,1,1,0,0,0,0
S01006930,358,358,346,265,78,3,12,12,0,0,0,0
S01006931,159,159,155,116,22,17,1,0,1,0,3,0
S01006932,195,195,194,136,55,3,1,1,0,0,0,0
S01006933,220,220,219,69,150,0,1,1,0,0,0,0
S01006934,234,234,231,126,62,43,3,2,0,1,0,0
S01006935,301,301,267,90,164,13,34,33,1,0,0,0
S01006936,274,274,232,25,179,28,42,42,0,0,0,0
S01006937,316,316,249,119,72,58,66,65,1,0,1,0
S01006938,254,254,185,39,123,23,69,68,1,0,0,0
S01006939,234,234,230,128,99,3,4,4,0,0,0,0
S01006940,378,378,322,210,86,26,56,55,0,1,0,0
S01006941,255,255,232,60,71,101,1,1,0,0,22,0
S01006942,390,390,367,186,166,15,22,22,0,0,1,0
S01006943,208,208,208,193,14,1,0,0,0,0,0,0
S01006944,327,327,235,171,61,3,92,91,1,0,0,0
S01006945,215,215,186,116,65,5,29,28,1,0,0,0
S01006946,314,314,264,164,87,13,50,41,7,2,0,0
S01006947,306,306,297,160,132,5,9,9,0,0,0,0
S01006948,372,372,346,185,123,38,26,23,2,1,0,0
