table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01006651,100,4.8850575,0.862069,2.0114943,2.0114943,95.1149425,89.6551724,4.0229885,1.4367816,0,
S01006652,100,6.116208,0,2.1406728,3.6697248,93.883792,90.2140673,2.7522936,1.529052,0,
S01006653,100,30.9904153,3.8338658,17.2523962,9.2651757,69.6485623,63.2587859,6.3897764,0,0,
S01006654,100,9.8501071,2.7837259,2.9978587,4.7109208,90.7922912,88.2226981,1.7130621,0,0.2141328,
S01006655,100,26.9083969,1.7175573,2.8625954,22.3282443,73.2824427,69.4656489,3.6259542,0.1908397,0,
S01006656,100,8.5714286,2.6530612,2.0408163,3.877551,91.4285714,82.4489796,8.5714286,0.4081633,0,
S01006657,100,7.8125,1.5625,1.953125,4.296875,92.1875,85.15625,6.640625,0.390625,0,
S01006658,100,4.7043011,0.9408602,1.8817204,1.8817204,95.2956989,90.8602151,4.3010753,0,0,
S01006659,100,28.9634146,2.1341463,19.8170732,7.6219512,71.0365854,49.695122,22.5609756,0,0,
S01006660,100,4.4247788,0,1.3274336,2.2123894,95.1327434,88.4955752,6.6371681,0,0.8849558,
S01006661,100,48.3471074,2.0661157,19.8347107,26.446281,51.6528926,41.322314,10.3305785,0,0,
S01006662,100,14.8148148,1.1111111,4.8148148,8.8888889,85.1851852,81.8518519,3.3333333,0,0,
S01006663,100,34.3096234,5.8577406,8.3682008,20.083682,65.6903766,53.5564854,11.7154812,0.41841,0,
S01006664,100,23.1441048,5.2401747,8.7336245,9.1703057,76.419214,68.1222707,6.9868996,1.3100437,0.4366812,
S01006665,100,17.9347826,3.8043478,10.0543478,4.6195652,82.0652174,73.6413043,7.8804348,0.5434783,0,
S01006666,100,3.7257824,0.8941878,2.0864382,1.3412817,95.2309985,94.0387481,1.0432191,0.1490313,0,
S01006667,100,2.764977,0.921659,1.3824885,0.4608295,97.235023,95.8525346,0.6912442,0.6912442,0,
S01006668,100,2.200489,0.7334963,0.2444988,1.2224939,97.0660147,94.6210269,1.9559902,0.4889976,0,
S01006669,100,19.8135198,6.2937063,8.1585082,5.8275058,80.1864802,74.3589744,5.3613054,0.4662005,0,
S01006670,100,2.8423773,0,1.5503876,1.2919897,96.3824289,93.7984496,2.3255814,0.7751938,0,
S01006671,100,26.4150943,10.3773585,7.5471698,8.490566,75,70.754717,1.8867925,0.4716981,0,
S01006672,100,17.0588235,2.0588235,9.1176471,5,82.9411765,78.5294118,4.4117647,0,0,
S01006673,100,13.9534884,7.4935401,4.3927649,2.0671835,86.8217054,82.9457364,1.8087855,1.2919897,0,
S01006674,100,3.8076152,1.4028056,1.4028056,0.6012024,96.1923848,95.3907816,1.002004,0,0,
S01006675,100,9.6774194,0.8797654,4.9853372,4.6920821,90.3225806,89.1495601,1.1730205,0,0,
S01006676,100,26.4797508,0.3115265,11.2149533,14.3302181,73.5202492,73.2087227,0,0,0,
S01006677,100,19.6691176,1.1029412,6.4338235,12.1323529,79.7794118,78.125,0.9191176,0.7352941,0,
S01006678,100,34.8005502,3.301238,10.7290234,21.3204952,65.1994498,63.823934,1.1004127,0.5502063,0,
S01006679,100,76.2214984,10.7491857,43.9739414,21.4983713,23.7785016,21.8241042,1.9543974,0,0,
S01006680,100,12.7562642,0.9111617,3.6446469,8.2004556,87.4715262,86.5603645,0.9111617,0,0,
S01006681,100,23.1441048,3.7117904,8.2969432,11.3537118,76.8558952,76.8558952,0.6550218,0,0,
S01006682,100,11.4361702,1.5957447,4.787234,3.9893617,88.5638298,86.9680851,1.5957447,0,0,
S01006683,100,15.9340659,3.021978,9.0659341,3.8461538,84.0659341,79.3956044,4.3956044,0.5494505,0,
S01006684,100,16.1538462,4.3589744,7.6923077,4.1025641,83.8461538,76.6666667,5.1282051,1.7948718,0,
S01006685,100,5.2785924,1.4662757,2.0527859,1.4662757,94.1348974,93.8416422,0,0.2932551,0,
S01006686,100,6.4638783,0.7604563,2.661597,2.2813688,93.5361217,92.0152091,2.2813688,0,0,
S01006687,100,3.7313433,0.7462687,1.7412935,1.2437811,97.0149254,96.0199005,0,0,0,
S01006688,100,48.6868687,5.2525253,32.3232323,11.1111111,51.3131313,50.7070707,0.8080808,0.2020202,0,
S01006689,100,35.7009346,8.411215,11.7757009,15.5140187,64.1121495,61.1214953,2.9906542,0,0.1869159,
S01006690,100,17.3913043,1.3377926,6.3545151,9.6989967,82.6086957,78.2608696,4.0133779,0.6688963,0,
S01006691,100,31.0650888,10.3550296,16.2721893,4.4378698,68.9349112,62.7218935,6.2130178,0,0,
S01006692,100,55.1622419,7.3746313,35.1032448,12.6843658,44.8377581,37.4631268,7.3746313,0,0,
S01006693,100,19.8905109,7.1167883,6.9343066,5.8394161,80.1094891,70.2554745,9.8540146,0,0,
S01006694,100,19.6226415,2.2641509,3.0188679,14.3396226,80.3773585,79.4339623,0.5660377,0.3773585,0,
S01006695,100,73.8317757,5.6074766,27.1028037,42.6791277,25.2336449,24.9221184,0.3115265,0,0,
S01006696,100,45.7534247,1.369863,7.3972603,36.9863014,53.9726027,52.8767123,1.0958904,0,0,
S01006697,100,46.8671679,7.0175439,15.2882206,24.5614035,53.1328321,53.1328321,0,0,0,
S01006698,100,18.1818182,0.7575758,5.0505051,12.3737374,81.8181818,81.0606061,0.7575758,0.2525253,0,
S01006699,100,53.5714286,2.0408163,40.3061224,11.2244898,44.3877551,43.877551,0,0,0,
S01006700,100,44.783715,15.7760814,9.9236641,19.0839695,55.216285,55.216285,0,0,0,
S01006701,100,54.4303797,2.2151899,14.8734177,37.6582278,44.3037975,43.3544304,0.6329114,0,0,
